Week,monkeypox,mpox,country
2022-11-06,19,0,Libya
2022-11-13,0,0,Libya
2022-11-20,0,0,Libya
2022-11-27,0,0,Libya
2022-12-04,0,0,Libya
2022-12-11,0,0,Libya
2022-12-18,0,0,Libya
2022-12-25,0,0,Libya
2023-01-01,21,0,Libya
2023-01-08,0,0,Libya
2023-01-15,0,0,Libya
2023-01-22,0,0,Libya
2023-01-29,0,0,Libya
2023-02-05,0,0,Libya
2023-02-12,0,0,Libya
2023-02-19,0,0,Libya
2023-02-26,38,0,Libya
2023-03-05,39,0,Libya
2023-03-12,19,0,Libya
2023-03-19,0,0,Libya
2023-03-26,0,0,Libya
2023-04-02,0,0,Libya
2023-04-09,0,0,Libya
2023-04-16,27,0,Libya
2023-04-23,22,0,Libya
2023-04-30,0,0,Libya
2023-05-07,0,0,Libya
2023-05-14,0,0,Libya
2023-05-21,0,0,Libya
2023-05-28,19,0,Libya
2023-06-04,0,0,Libya
2023-06-11,50,0,Libya
2023-06-18,0,0,Libya
2023-06-25,0,0,Libya
2023-07-02,0,0,Libya
2023-07-09,0,0,Libya
2023-07-16,32,0,Libya
2023-07-23,0,0,Libya
2023-07-30,33,0,Libya
2023-08-06,0,0,Libya
2023-08-13,58,0,Libya
2023-08-20,0,0,Libya
2023-08-27,0,0,Libya
2023-09-03,0,0,Libya
2023-09-10,0,0,Libya
2023-09-17,0,0,Libya
2023-09-24,0,0,Libya
2023-10-01,100,0,Libya
2023-10-08,0,0,Libya
2023-10-15,0,0,Libya
2023-10-22,0,0,Libya
2023-10-29,0,0,Libya
2023-11-05,0,0,Libya
2023-11-12,0,0,Libya
2023-11-19,0,0,Libya
2023-11-26,21,0,Libya
